order_id,date,region,category,product,salesperson,quantity,unit_price,discount,returned
1001,2024-01-05,North,Electronics,Laptop,Alice,2,899.99,0.05,No
1002,2024-01-07,South,Clothing,Jacket,Bob,5,79.99,0.10,No
1003,2024-01-09,East,Electronics,Phone,Carol,3,499.99,0.00,Yes
1004,2024-01-12,West,Food,Coffee,Dave,20,12.99,0.00,No
1005,2024-01-15,North,Clothing,Shoes,Alice,4,120.00,0.15,No
1006,2024-01-18,South,Electronics,Tablet,Bob,1,349.99,0.05,No
1007,2024-01-20,East,Food,Tea,Carol,30,8.99,0.00,No
1008,2024-01-22,West,Electronics,Laptop,Dave,1,899.99,0.10,Yes
1009,2024-01-25,North,Food,Coffee,Alice,15,12.99,0.00,No
1010,2024-01-28,South,Clothing,T-Shirt,Bob,10,24.99,0.05,No
1011,2024-02-02,East,Electronics,Phone,Carol,2,499.99,0.10,No
1012,2024-02-05,West,Clothing,Jacket,Dave,3,79.99,0.00,No
1013,2024-02-08,North,Electronics,Tablet,Alice,2,349.99,0.05,Yes
1014,2024-02-10,South,Food,Tea,Bob,25,8.99,0.00,No
1015,2024-02-13,East,Clothing,Shoes,Carol,6,120.00,0.10,No
1016,2024-02-16,West,Food,Coffee,Dave,18,12.99,0.05,No
1017,2024-02-18,North,Electronics,Laptop,Alice,3,899.99,0.00,No
1018,2024-02-20,South,Clothing,T-Shirt,Bob,12,24.99,0.00,No
1019,2024-02-22,East,Food,Coffee,Carol,22,12.99,0.10,Yes
1020,2024-02-25,West,Electronics,Phone,Dave,4,499.99,0.05,No
1021,2024-03-01,North,Food,Tea,Alice,40,8.99,0.00,No
1022,2024-03-04,South,Electronics,Tablet,Bob,3,349.99,0.10,No
1023,2024-03-07,East,Clothing,Jacket,Carol,7,79.99,0.05,No
1024,2024-03-10,West,Electronics,Laptop,Dave,2,899.99,0.00,No
1025,2024-03-13,North,Clothing,Shoes,Alice,5,120.00,0.10,Yes
1026,2024-03-15,South,Food,Coffee,Bob,28,12.99,0.00,No
1027,2024-03-18,East,Electronics,Phone,Carol,3,499.99,0.05,No
1028,2024-03-20,West,Clothing,T-Shirt,Dave,15,24.99,0.00,No
1029,2024-03-23,North,Food,Tea,Alice,35,8.99,0.00,No
1030,2024-03-26,South,Electronics,Laptop,Bob,1,899.99,0.15,No
1031,2024-04-01,East,Clothing,Jacket,Carol,4,79.99,0.00,No
1032,2024-04-04,West,Food,Coffee,Dave,22,12.99,0.05,No
1033,2024-04-07,North,Electronics,Tablet,Alice,3,349.99,0.00,No
1034,2024-04-10,South,Clothing,Shoes,Bob,8,120.00,0.10,Yes
1035,2024-04-13,East,Food,Tea,Carol,45,8.99,0.00,No
1036,2024-04-15,West,Electronics,Phone,Dave,2,499.99,0.05,No
1037,2024-04-18,North,Clothing,T-Shirt,Alice,20,24.99,0.00,No
1038,2024-04-20,South,Food,Coffee,Bob,30,12.99,0.00,No
1039,2024-04-23,East,Electronics,Laptop,Carol,2,899.99,0.10,No
1040,2024-04-26,West,Clothing,Jacket,Dave,6,79.99,0.05,No
